time,utilization
2023-01-07 15:25:19,0
2023-01-07 15:25:18,0
2023-01-07 15:25:17,0
2023-01-07 15:25:16,0
2023-01-07 15:25:15,0
2023-01-07 15:25:14,0
2023-01-07 15:25:13,0
2023-01-07 15:25:12,0
2023-01-07 15:25:11,0
2023-01-07 15:25:10,0
2023-01-07 15:25:09,0
2023-01-07 15:25:08,0
2023-01-07 15:25:07,0
2023-01-07 15:25:06,0
2023-01-07 15:25:05,0
2023-01-07 15:25:04,0
2023-01-07 15:25:03,0
2023-01-07 15:25:02,0
2023-01-07 15:25:01,0
2023-01-07 15:25:00,0
2023-01-07 15:24:59,0
2023-01-07 15:24:58,0
2023-01-07 15:24:57,0
2023-01-07 15:24:56,0
2023-01-07 15:24:55,0
2023-01-07 15:24:54,0
2023-01-07 15:24:53,0
2023-01-07 15:24:52,16
2023-01-07 15:24:51,16
2023-01-07 15:24:50,15
2023-01-07 15:24:49,15
2023-01-07 15:24:48,12
2023-01-07 15:24:47,0
2023-01-07 15:24:46,0
2023-01-07 15:24:45,0
2023-01-07 15:24:44,0
2023-01-07 15:24:43,0
2023-01-07 15:24:42,0
2023-01-07 15:24:41,0
2023-01-07 15:24:40,0
2023-01-07 15:24:39,0
2023-01-07 15:24:38,0
2023-01-07 15:24:37,15
2023-01-07 15:24:36,14
2023-01-07 15:24:35,14
2023-01-07 15:24:34,14
2023-01-07 15:24:33,12
2023-01-07 15:24:32,0
2023-01-07 15:24:31,0
2023-01-07 15:24:30,0
2023-01-07 15:24:29,0
2023-01-07 15:24:28,0
2023-01-07 15:24:27,0
2023-01-07 15:24:26,14
2023-01-07 15:24:25,14
2023-01-07 15:24:24,14
2023-01-07 15:24:23,14
2023-01-07 15:24:22,4
2023-01-07 15:24:21,0
2023-01-07 15:24:20,0
2023-01-07 15:24:19,0
2023-01-07 15:24:18,0
2023-01-07 15:24:17,0
2023-01-07 15:24:16,15
2023-01-07 15:24:15,15
2023-01-07 15:24:14,15
2023-01-07 15:24:13,15
2023-01-07 15:24:12,12
2023-01-07 15:24:11,0
2023-01-07 15:24:10,0
2023-01-07 15:24:09,0
2023-01-07 15:24:08,0
2023-01-07 15:24:07,0
2023-01-07 15:24:06,0
2023-01-07 15:24:05,0
2023-01-07 15:24:04,13
2023-01-07 15:24:03,13
2023-01-07 15:24:02,13
2023-01-07 15:24:01,13
2023-01-07 15:24:00,1
2023-01-07 15:23:59,0
2023-01-07 15:23:58,0
2023-01-07 15:23:57,0
2023-01-07 15:23:56,0
2023-01-07 15:23:55,0
2023-01-07 15:23:54,0
2023-01-07 15:23:53,0
2023-01-07 15:23:52,0
2023-01-07 15:23:51,0
2023-01-07 15:23:50,15
2023-01-07 15:23:49,15
2023-01-07 15:23:48,15
2023-01-07 15:23:47,15
2023-01-07 15:23:46,12
2023-01-07 15:23:45,0
2023-01-07 15:23:44,0
2023-01-07 15:23:43,0
2023-01-07 15:23:42,0
2023-01-07 15:23:41,0
2023-01-07 15:23:40,0
2023-01-07 15:23:39,15
2023-01-07 15:23:38,14
2023-01-07 15:23:37,14
2023-01-07 15:23:36,14
2023-01-07 15:23:35,12
2023-01-07 15:23:34,0
2023-01-07 15:23:33,0
2023-01-07 15:23:32,0
2023-01-07 15:23:31,0
2023-01-07 15:23:30,0
2023-01-07 15:23:29,0
2023-01-07 15:23:28,0
2023-01-07 15:23:27,15
2023-01-07 15:23:26,15
2023-01-07 15:23:25,14
2023-01-07 15:23:24,14
2023-01-07 15:23:23,9
2023-01-07 15:23:22,0
2023-01-07 15:23:21,0
2023-01-07 15:23:20,0
2023-01-07 15:23:19,0
2023-01-07 15:23:18,0
2023-01-07 15:23:17,0
2023-01-07 15:23:16,0
2023-01-07 15:23:15,0
2023-01-07 15:23:14,0
2023-01-07 15:23:13,14
2023-01-07 15:23:12,14
2023-01-07 15:23:11,14
2023-01-07 15:23:10,14
2023-01-07 15:23:09,4
2023-01-07 15:23:08,0
2023-01-07 15:23:07,0
2023-01-07 15:23:06,0
2023-01-07 15:23:05,0
2023-01-07 15:23:04,0
2023-01-07 15:23:03,0
2023-01-07 15:23:02,0
2023-01-07 15:23:01,0
2023-01-07 15:23:00,0
2023-01-07 15:22:59,16
2023-01-07 15:22:58,16
2023-01-07 15:22:57,15
2023-01-07 15:22:56,14
2023-01-07 15:22:55,14
2023-01-07 15:22:54,4
2023-01-07 15:22:53,0
2023-01-07 15:22:52,0
2023-01-07 15:22:51,0
2023-01-07 15:22:50,0
2023-01-07 15:22:49,0
2023-01-07 15:22:48,0
2023-01-07 15:22:47,0
2023-01-07 15:22:46,0
2023-01-07 15:22:45,0
2023-01-07 15:22:44,0
2023-01-07 15:22:43,0
2023-01-07 15:22:42,0
2023-01-07 15:22:41,0
2023-01-07 15:22:40,0
2023-01-07 15:22:39,0
2023-01-07 15:22:38,0
2023-01-07 15:22:37,0
2023-01-07 15:22:36,0
2023-01-07 15:22:35,0
2023-01-07 15:22:34,0
2023-01-07 15:22:33,0
2023-01-07 15:22:32,0
2023-01-07 15:22:31,0
2023-01-07 15:22:30,0
2023-01-07 15:22:29,0
2023-01-07 15:22:28,0
2023-01-07 15:22:27,0
2023-01-07 15:22:26,0
2023-01-07 15:22:25,0
2023-01-07 15:22:24,0
2023-01-07 15:22:23,0
2023-01-07 15:22:22,0
2023-01-07 15:22:21,0
2023-01-07 15:22:20,0
2023-01-07 15:22:19,0
2023-01-07 15:22:18,0
2023-01-07 15:22:17,0
2023-01-07 15:22:16,0
2023-01-07 15:22:15,0
2023-01-07 15:22:14,0
2023-01-07 15:22:13,0
2023-01-07 15:22:12,0
2023-01-07 15:22:11,0
2023-01-07 15:22:10,0
2023-01-07 15:22:09,0
2023-01-07 15:22:08,0
2023-01-07 15:22:07,0
2023-01-07 15:22:06,0
2023-01-07 15:22:05,0
2023-01-07 15:22:04,0
2023-01-07 15:22:03,0
2023-01-07 15:22:02,0
2023-01-07 15:22:01,0
2023-01-07 15:22:00,0
2023-01-07 15:21:59,0
2023-01-07 15:21:58,0
2023-01-07 15:21:57,0
2023-01-07 15:21:56,0
2023-01-07 15:21:55,0
2023-01-07 15:21:54,0
2023-01-07 15:21:53,0
2023-01-07 15:21:52,0
2023-01-07 15:21:51,0
2023-01-07 15:21:50,0
2023-01-07 15:21:49,0
2023-01-07 15:21:48,0
2023-01-07 15:21:47,0
2023-01-07 15:21:46,0
2023-01-07 15:21:45,0
2023-01-07 15:21:44,0
2023-01-07 15:21:43,0
2023-01-07 15:21:42,0
2023-01-07 15:21:41,0
2023-01-07 15:21:40,0
